date,label,sst_c,MMM,SSTA,HotSpot,DHW,risk_tier,chlor_a,kd490_proxy,CSI
2007-06-07,Havelock,29.644586181640648,30.39821597828587,0.17719078063964844,-0.753629796645221,0.09506584616268299,No Stress,0.8489181944584415,0.9798992017510006,0.2925670577729949
2007-06-14,Havelock,29.432031250000023,30.39821597828587,0.16858482360839844,-0.966184728285846,0.09506584616268299,No Stress,0.6271984138799843,1.0429497360131461,0.22746175665083207
2007-06-21,Havelock,28.997369384765648,30.39821597828587,0.12156105041505327,-1.400846593520221,0.09506584616268299,No Stress,0.6771535277366638,1.0688621565444145,0.24866624228925924
2007-06-28,Havelock,28.413781738281273,30.39821597828587,-0.2581691741943324,-1.984434240004596,0.09506584616268299,No Stress,,,
2007-07-05,Havelock,28.342309570312523,30.39821597828587,-0.2534866333007777,-2.055906407973346,0.09506584616268299,No Stress,,,
2007-07-12,Havelock,28.430841064453148,30.39821597828587,-0.29747962951659446,-1.967374913832721,0.015535242417278994,No Stress,,,
2007-07-19,Havelock,28.690515136718773,30.39821597828587,0.0011844635009765625,-1.707700841567096,0.0,No Stress,0.617510199546814,1.086771021829674,0.21061234552973282
2007-07-26,Havelock,29.079400634765648,30.39821597828587,0.4956874847412145,-1.318815343520221,0.0,No Stress,0.8828419038666164,0.9930919999786751,0.28555441026314354
2007-08-02,Havelock,28.224572753906273,30.39821597828587,-0.2238388061523402,-2.173643224379596,0.0,No Stress,,,
2007-08-09,Havelock,28.018609619140648,30.39821597828587,-0.33808517456053977,-2.379606359145221,0.0,No Stress,0.6906686777616069,1.0862507466601554,0.23539893965021474
2007-08-16,Havelock,28.120080566406273,30.39821597828587,-0.2802276611328125,-2.278135411879596,0.0,No Stress,0.8144360592920487,1.0095343543581978,0.26497746315374743
2007-08-23,Havelock,28.298944091796898,30.39821597828587,-0.27703285217285156,-2.099271886488971,0.0,No Stress,0.5375002903809128,1.0523553510201094,0.17780497719915703
2007-08-30,Havelock,28.528649902343716,30.39821597828587,-0.08903121948247517,-1.8695660759421528,0.0,No Stress,0.7211800977423951,1.051389825340893,0.24009246576647925
2007-09-06,Havelock,29.015435791015648,30.39821597828587,0.3771095275878942,-1.382780187270221,0.0,No Stress,0.6181577940928218,1.049794414947591,0.20480853030857565
2007-09-13,Havelock,28.502557373046898,30.39821597828587,0.030796051025390625,-1.895658605238971,0.0,No Stress,,,
2007-09-20,Havelock,28.519708251953148,30.39821597828587,-0.03392410278319247,-1.878507726332721,0.0,No Stress,,,
2007-09-27,Havelock,28.344659423828148,30.39821597828587,-0.38753128051756747,-2.053556554457721,0.0,No Stress,,,
2007-10-04,Havelock,28.143701171875023,30.39821597828587,-0.6295070648193324,-2.254514806410846,0.0,No Stress,0.6021283124039768,1.0986588847348426,0.2073197246200583
2007-10-11,Havelock,28.415948486328148,30.39821597828587,-0.4830646514892507,-1.982267491957721,0.0,No Stress,,,
2007-10-18,Havelock,28.973748779296898,30.39821597828587,-0.0602874755859375,-1.424467198988971,0.0,No Stress,0.6969155997989805,0.9908087344925465,0.22197391971204986
2007-10-25,Havelock,28.842767333984398,30.39821597828587,-0.3353233337402308,-1.555448644301471,0.0,No Stress,0.4575680792331696,1.1230619346508297,0.18296154157759623
2007-11-01,Havelock,29.032952880859398,30.39821597828587,-0.13582801818847656,-1.365263097426471,0.0,No Stress,0.9270738398015738,0.93970842824822,0.291894854473683
2007-11-08,Havelock,28.721398925781273,30.39821597828587,-0.24457740783690696,-1.676817052504596,0.0,No Stress,,,
2007-11-15,Havelock,28.352075195312523,30.39821597828587,-0.5709648132324183,-2.046140782973346,0.0,No Stress,0.5052675425419492,1.0499562729367629,0.17105166897612256
2007-11-22,Havelock,28.427911376953148,30.39821597828587,-0.4795265197753906,-1.970304601332721,0.0,No Stress,0.5758386403786431,1.039985788168691,0.18882352671220065
2007-11-29,Havelock,27.983026123046898,30.39821597828587,-0.7196025848388672,-2.415189855238971,0.0,No Stress,0.4039781811409556,1.0924591123473923,0.17797593982892423
2007-12-06,Havelock,27.996514892578148,30.39821597828587,-0.5957889556884766,-2.401701085707721,0.0,No Stress,0.3550357497000432,1.1162802308215327,0.18185671294005842
2007-12-13,Havelock,28.082482910156273,30.39821597828587,-0.368896484375,-2.315733068129596,0.0,No Stress,,,
2007-12-20,Havelock,27.918084716796898,30.39821597828587,-0.3495903015136719,-2.480131261488971,0.0,No Stress,0.4616028738708693,1.0445549977496864,0.17017173029756735
2007-12-27,Havelock,27.674584960937523,30.39821597828587,-0.3868217468261719,-2.723631017348346,0.0,No Stress,0.913779156226998,0.9212062065181778,0.2843608666424299
2008-01-03,Havelock,27.570123291015648,30.39821597828587,-0.38015174865722656,-2.828092687270221,0.0,No Stress,0.5434969396448036,1.0408572942514271,0.17797044618241414
2008-01-10,Havelock,27.550408935546898,30.39821597828587,-0.3006362915039027,-2.847807042738971,0.0,No Stress,0.5464589780369218,1.0035061127685392,0.172892438744481
2008-01-17,Havelock,27.673516845703148,30.39821597828587,-0.15105819702148082,-2.724699132582721,0.0,No Stress,0.595448106315631,1.0176958321500138,0.19185874067141703
2008-01-24,Havelock,27.842370605468773,30.39821597828587,0.014461517333987928,-2.555845372817096,0.0,No Stress,0.4026305115952783,1.0905529148181525,0.1776653952118016
2008-01-31,Havelock,27.926354980468773,30.39821597828587,0.10069465637207031,-2.471860997817096,0.0,No Stress,0.7203990649902207,0.9818517200330777,0.22849827082825053
2008-02-07,Havelock,28.166711425781273,30.39821597828587,0.15873336791992188,-2.231504552504596,0.0,No Stress,0.5521375382614588,1.0477274490952466,0.18202718950880092
2008-02-14,Havelock,28.134057617187523,30.39821597828587,-0.07863235473632457,-2.264158361098346,0.0,No Stress,0.3834173052997912,1.1358242203564912,0.1850406855630858
2008-02-21,Havelock,28.169549560546898,30.39821597828587,-0.174402236938473,-2.228666417738971,0.0,No Stress,0.7387441653573052,1.005416645543283,0.23857400674399354
2008-02-28,Havelock,28.418695068359398,30.39821597828587,-0.17049980163573508,-1.979520909926471,0.0,No Stress,0.7210390023407507,0.9982244481049627,0.23138315988054292
2008-03-06,Havelock,28.803552246093716,30.39821597828587,-0.027517318725635675,-1.5946637321921528,0.0,No Stress,0.5004774980540109,1.0621214276346285,0.1730335324765923
2008-03-13,Havelock,29.133782958984398,30.39821597828587,0.034759521484382105,-1.264433019301471,0.0,No Stress,0.7327248371767077,1.0533482711043258,0.24433633465676863
2008-03-20,Havelock,29.396173095703148,30.39821597828587,0.06778335571289773,-1.002042882582721,0.0,No Stress,0.4682738959036575,1.0379583952265612,0.1690970570942761
2008-03-27,Havelock,29.387719726562523,30.39821597828587,-0.27514839172362926,-1.010496251723346,0.0,No Stress,,,
2008-04-03,Havelock,29.668786621093716,30.39821597828587,-0.35337829589848724,-0.7294293571921528,0.0,No Stress,0.3183982968330383,1.1301472940897792,0.18411583970273449
2008-04-10,Havelock,30.177301025390648,30.39821597828587,-0.106170654296875,-0.220914952895221,0.0,No Stress,0.309224858880043,1.252688379165559,0.20407939214833198
2008-04-17,Havelock,30.394342041015648,30.39821597828587,-0.1741466522216797,-0.003873937270221006,0.0,No Stress,,,
2008-04-24,Havelock,30.132043457031273,30.39821597828587,-0.5174674987792933,-0.266172521254596,0.0,No Stress,,,
2008-05-01,Havelock,29.358148193359398,30.39821597828587,-1.209329605102532,-1.040067784926471,0.0,No Stress,0.7773566246032715,1.0856269215778063,0.26476821580001964
2008-05-08,Havelock,29.427575683593716,30.39821597828587,-1.140501022338917,-0.9706402946921528,0.0,No Stress,1.016410231590271,1.0132270158050434,0.33424328330453257
2008-05-15,Havelock,28.809533691406273,30.39821597828587,-1.2603569030761648,-1.588682286879596,0.0,No Stress,0.6128555645986264,1.137305837426774,0.2172627158213234
2008-05-22,Havelock,28.726251220703148,30.39821597828587,-0.9334144592285156,-1.671964757582721,0.0,No Stress,0.5570862538166725,1.0710500674488757,0.18750914263236648
2008-05-29,Havelock,28.991906738281273,30.39821597828587,-0.6122341156005859,-1.406309240004596,0.0,No Stress,0.3131053149700165,1.1362950590537029,0.18511739137174898
2008-06-05,Havelock,29.352624511718773,30.39821597828587,-0.11477088928222656,-1.045591466567096,0.0,No Stress,0.5715928095337758,1.1311002645836499,0.20222383606546984
2008-06-12,Havelock,29.080072021484398,30.39821597828587,-0.18337440490722656,-1.318143956801471,0.0,No Stress,0.7004874032220724,1.0401837983882907,0.2312320559063464
2008-06-19,Havelock,28.990563964843716,30.39821597828587,0.11475563049312143,-1.4076520134421528,0.0,No Stress,,,
2008-06-26,Havelock,28.311029052734398,30.39821597828587,-0.3609218597412074,-2.087186925551471,0.0,No Stress,,,
2008-07-03,Havelock,28.062371826171898,30.39821597828587,-0.5334243774414027,-2.335844152113971,0.0,No Stress,0.5648100791352518,1.1324613241293624,0.20013967666215596
2008-07-10,Havelock,28.357537841796898,30.39821597828587,-0.37078285217284446,-2.040678136488971,0.0,No Stress,,,
2008-07-17,Havelock,28.694604492187523,30.39821597828587,0.0052738189697265625,-1.703611486098346,0.0,No Stress,,,
2008-07-24,Havelock,28.391229248046898,30.39821597828587,-0.1924839019775355,-2.006986730238971,0.0,No Stress,,,
2008-07-31,Havelock,28.013360595703148,30.39821597828587,-0.4350509643554652,-2.384855382582721,0.0,No Stress,,,
2008-08-07,Havelock,27.635339355468773,30.39821597828587,-0.7213554382324148,-2.762876622817096,0.0,No Stress,,,
2008-08-14,Havelock,27.850061035156273,30.39821597828587,-0.5502471923828125,-2.548154943129596,0.0,No Stress,,,
2008-08-21,Havelock,28.198815917968773,30.39821597828587,-0.37716102600097656,-2.199400060317096,0.0,No Stress,,,
2008-08-28,Havelock,28.827874755859398,30.39821597828587,0.21019363403320668,-1.570341222426471,0.0,No Stress,0.4343702692941942,1.1040383993130087,0.1798623577799139
2008-09-04,Havelock,29.214410400390648,30.39821597828587,0.5760841369628942,-1.183805577895221,0.0,No Stress,0.6233070515967034,1.150713772345204,0.22300018885554287
2008-09-11,Havelock,28.281030273437523,30.39821597828587,-0.19073104858398438,-2.117185704848346,0.0,No Stress,,,
2008-09-18,Havelock,28.517602539062523,30.39821597828587,-0.03602981567381747,-1.880613439223346,0.0,No Stress,0.5138712293991058,1.092129547524604,0.1779222493901633
2008-09-25,Havelock,28.639276123046898,30.39821597828587,-0.09291458129881747,-1.758939855238971,0.0,No Stress,,,
2008-10-02,Havelock,29.187280273437523,30.39821597828587,0.4140720367431676,-1.210935704848346,0.0,No Stress,0.4725113018993804,1.096277575098827,0.1785980175700564
2008-10-09,Havelock,29.431481933593716,30.39821597828587,0.5324687957763174,-0.9667340446921528,0.0,No Stress,0.6457812164723874,1.004318334042458,0.20679088813147473
2008-10-16,Havelock,29.430780029296898,30.39821597828587,0.3967437744140625,-0.967435948988971,0.0,No Stress,,,
2008-10-23,Havelock,29.356958007812523,30.39821597828587,0.17886734008789418,-1.041257970473346,0.0,No Stress,,,
2008-10-30,Havelock,29.008508300781273,30.39821597828587,-0.16027259826660156,-1.389707677504596,0.0,No Stress,0.5777138525580132,1.0508450293334384,0.1912301470657441
2008-11-06,Havelock,28.866967773437523,30.39821597828587,-0.09900856018065696,-1.531248204848346,0.0,No Stress,0.5348097926691958,1.0749272686442148,0.1805675628608426
2008-11-13,Havelock,28.464654541015648,30.39821597828587,-0.4583854675292933,-1.933561437270221,0.0,No Stress,0.2301682737764485,1.2308297101194263,0.2005183278275487
2008-11-20,Havelock,28.634027099609398,30.39821597828587,-0.2734107971191406,-1.764188878676471,0.0,No Stress,0.6662802996042975,0.9926495601595297,0.21185887127488792
2008-11-27,Havelock,28.388696289062523,30.39821597828587,-0.3139324188232422,-2.009519689223346,0.0,No Stress,0.5208552867856286,1.0069788455494944,0.1647538225297198
2008-12-04,Havelock,28.112969970703148,30.39821597828587,-0.47933387756347656,-2.285246007582721,0.0,No Stress,0.6224040701903034,0.9931281408770987,0.19702043699566646
